Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Grandia,PS,1999,Role-Playing,89.0,6.6,E
Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,2006,Adventure,51.0,7.5,T
"Ed, Edd n Eddy: The Mis-Edventures",GC,2005,Platform,55.0,7.9,E
Armored Core 4,X360,2007,Simulation,65.0,7.2,T
SBK Superbike World Championship,PS3,2008,Racing,59.0,6.1,E10+
Indiana Jones and the Staff of Kings,DS,2009,Action,50.0,6.8,T
X-Men Origins: Wolverine,Wii,2009,Action,53.0,6.1,T
Disgaea 2: Dark Hero Days,PSP,2009,Role-Playing,83.0,7.1,T
Major League Baseball 2K7,PS3,2007,Sports,74.0,4.7,E
Final Fantasy XI: Chains of Promathia,PS2,2004,Role-Playing,77.0,8,T
The Chronicles of Riddick: Assault on Dark Athena,PS3,2009,Shooter,80.0,7.7,M
X-Men Legends II: Rise of Apocalypse,GC,2005,Role-Playing,82.0,6.2,T
TV Superstars,PS3,2010,Misc,56.0,4.9,E
NBA Courtside 2002,GC,2002,Sports,71.0,7.4,E
Digimon World: Data Squad,PS2,2006,Role-Playing,43.0,8,E10+
Racquet Sports,Wii,2010,Sports,51.0,8.6,E
Far Cry Instincts Predator,X360,2006,Shooter,78.0,6.2,M
Army Men: Sarge's Heroes 2,PS,2000,Shooter,48.0,7.3,T
MLB,PSP,2005,Sports,80.0,7.9,E
Britney's Dance Beat,PS2,2002,Misc,63.0,4.8,E
Vexx,PS2,2003,Platform,63.0,7.6,T
TimeSplitters: Future Perfect,PS2,2005,Shooter,84.0,9.1,M
Harvest Moon: Magical Melody,GC,2005,Simulation,83.0,8.9,E
Genma Onimusha,XB,2002,Action,83.0,8.6,M
DK: King of Swing,GBA,2005,Platform,70.0,5,E
Turning Point: Fall of Liberty,PS3,2008,Shooter,42.0,5.5,T
Corvette,XB,2003,Racing,53.0,8.6,E
Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Role-Playing,56.0,6.9,E10+
Fuel,PS3,2009,Racing,67.0,7.4,E
NBA Live 10,PSP,2009,Sports,64.0,4.2,E
Burnout 2: Point of Impact,XB,2003,Racing,88.0,5.1,E
Super Monkey Ball Deluxe,PS2,2005,Misc,78.0,7.7,E
Kill.Switch,XB,2003,Shooter,75.0,8,T
Lunar: Silver Star Harmony,PSP,2009,Role-Playing,80.0,7.7,T
Peter Jackson's King Kong: The Official Game of the Movie,GC,2005,Action,81.0,8.3,T
Dancing With The Stars,Wii,2007,Misc,42.0,6.2,E10+
The Simpsons: Road Rage,GC,2001,Racing,67.0,7.7,T
Azurik: Rise of Perathia,XB,2001,Action,52.0,8.5,T
Dragon Ball Z: Sagas,XB,2005,Fighting,51.0,6.1,T
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,60.0,5.3,T
Crash Tag Team Racing,PSP,2005,Racing,68.0,7.1,E10+
Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,70.0,9.2,E
Final Fantasy Fables: Chocobo Tales,DS,2006,Adventure,75.0,7.4,E
NCAA College Basketball 2K3,PS2,2002,Sports,83.0,8,E
Bakugan: Battle Brawlers,X360,2009,Action,60.0,5.2,E
Fantastic 4,GC,2005,Action,61.0,4,T
Tony Hawk's American Sk8land,GBA,2005,Sports,64.0,5.4,E
Metro 2033,PC,2010,Shooter,81.0,8.1,M
Valhalla Knights,PSP,2006,Role-Playing,53.0,6.3,E10+
Luminous Arc,DS,2007,Role-Playing,70.0,7,T
4x4 EVO 2,XB,2001,Racing,59.0,6.2,E
Grand Theft Auto,GBA,2004,Action,68.0,7.1,M
Avalon Code,DS,2008,Role-Playing,71.0,7.4,E10+
Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,62.0,8.2,M
My Street,PS2,2003,Misc,46.0,3.9,E
Spider-Man: Shattered Dimensions,Wii,2010,Action,75.0,7.7,T
Ghost Rider,PSP,2007,Action,49.0,5.7,T
Shadow Hearts: Covenant,PS2,2004,Role-Playing,85.0,9.1,T
Driver '76,PSP,2007,Racing,57.0,7.9,M
Harry Potter and the Order of the Phoenix,PS3,2007,Action,67.0,6.6,E10+
Midway Arcade Treasures: Extended Play,PSP,2005,Misc,63.0,7.8,M
Dynasty Warriors 6 Empires,X360,2009,Action,59.0,7.3,T
FIFA World Cup Germany 2006,XB,2006,Sports,77.0,8.4,E
G.I. Joe: The Rise of Cobra,X360,2009,Action,42.0,4.7,T
PDC World Championship Darts 2008,Wii,2008,Sports,51.0,5.4,E10+
Pure Futbol,PS3,2010,Sports,46.0,7.5,E
Afro Samurai,X360,2009,Action,65.0,6.2,M
Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Role-Playing,61.0,5.4,M
NASCAR 08,PS2,2007,Racing,56.0,8.2,E
Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009,Adventure,74.0,8.1,T
Divinity II: Ego Draconis,X360,2009,Role-Playing,62.0,6.4,M
Bakugan: Battle Brawlers,PS3,2009,Action,63.0,8.2,E
Naruto: Path of the Ninja 2,DS,2006,Role-Playing,62.0,7.5,E10+
Karaoke Revolution Volume 2,PS2,2004,Misc,76.0,7,E
Prince of Persia: The Forgotten Sands,Wii,2010,Action,77.0,8.1,T
Disney's A Christmas Carol,DS,2009,Adventure,66.0,6.5,E
NASCAR Thunder 2004,XB,2003,Racing,85.0,9.1,E
Buffy the Vampire Slayer,XB,2002,Action,79.0,9.1,T
Harry Potter and the Goblet of Fire,XB,2005,Action,68.0,5.8,E10+
Sands of Destruction,DS,2008,Role-Playing,63.0,7.9,T
Harry Potter and the Goblet of Fire,DS,2005,Action,68.0,6,E
Viva Pinata: Party Animals,X360,2007,Misc,56.0,6.2,E
World Series Baseball,XB,2002,Sports,85.0,8.8,E
Test Drive: Eve of Destruction,PS2,2004,Racing,73.0,9.1,T
Jeremy McGrath Supercross World,PS2,2001,Racing,35.0,3.4,T
The Scorpion King: Rise of the Akkadian,PS2,2002,Action,47.0,7.2,T
The Club,PS3,2008,Shooter,72.0,6.5,M
Meteos,DS,2005,Puzzle,88.0,7.5,E
Star Wars Jedi Knight II: Jedi Outcast,GC,2002,Shooter,75.0,7.8,T
Tom Clancy's Splinter Cell,GC,2003,Action,89.0,8.7,T
ESPN NHL Hockey,PS2,2003,Sports,90.0,7,E
The Incredible Hulk: Ultimate Destruction,XB,2005,Action,84.0,8,T
Gundam Battle Assault,PS,1998,Fighting,61.0,7.8,T
Cross Edge,PS3,2008,Role-Playing,52.0,7.2,T
The Lord of the Rings: Aragorn's Quest,Wii,2010,Action,58.0,7.8,T
Looney Tunes: Acme Arsenal,Wii,2007,Action,27.0,5.1,E10+
Madagascar: Escape 2 Africa,PS3,2008,Action,58.0,6.8,E10+
NBA 2K6,X360,2005,Action,81.0,8.6,E
NASCAR 08,PS3,2007,Racing,57.0,5,E
Mafia,XB,2004,Action,66.0,7.7,M
Dynasty Warriors: Strikeforce,X360,2009,Action,59.0,5.7,T
Airblade,PS2,2001,Sports,70.0,5.8,T
Genji: Dawn of the Samurai,PS2,2005,Action,74.0,8.3,M
The Italian Job,PS2,2003,Racing,55.0,6.3,T
TrackMania: Build to Race,Wii,2010,Racing,74.0,6.8,E
Ultimate Band,Wii,2008,Misc,59.0,5.5,E10+
Freedom Fighters,XB,2003,Shooter,82.0,8.2,T
Soldier of Fortune II: Double Helix,XB,2003,Shooter,61.0,6.5,M
Lunar Knights,DS,2006,Role-Playing,82.0,7.8,E10+
Final Fantasy XI: Treasures of Aht Urhgan,PS2,2006,Role-Playing,87.0,7.1,T
Alundra,PS,1997,Role-Playing,86.0,9,T
Mortal Kombat: Armageddon,Wii,2007,Fighting,71.0,8.4,M
BlowOut,PS2,2003,Shooter,58.0,6.2,T
NFL Blitz Pro,PS2,2003,Sports,73.0,8.5,E
Tiger Woods PGA Tour 2003,GC,2002,Sports,90.0,8,E
Pinball Hall of Fame: The Gottlieb Collection,PSP,2005,Misc,73.0,8.1,E
Disgaea: Afternoon of Darkness,PSP,2006,Role-Playing,87.0,8.2,T
SSX On Tour,PSP,2005,Sports,79.0,8.1,E
Ys Seven,PSP,2009,Role-Playing,79.0,8.5,T
Tony Hawk's Proving Ground,DS,2007,Sports,79.0,6.7,E10+
The Polar Express,PS2,2004,Adventure,39.0,4.3,E
AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,63.0,4.9,T
Valhalla Knights 2,PSP,2008,Role-Playing,50.0,5.4,E10+
NBA ShootOut 2003,PS2,2002,Sports,62.0,5.9,E
Need For Speed: Undercover,DS,2008,Racing,59.0,6.7,E10+
Rogue Ops,PS2,2003,Action,61.0,9.2,M
Legion: The Legend of Excalibur,PS2,2002,Action,51.0,7,M
Spartan: Total Warrior,PS2,2005,Action,74.0,8.4,M
Justice League Heroes,PSP,2006,Role-Playing,72.0,7.8,T
Conflict: Vietnam,XB,2004,Shooter,60.0,7.3,M
Whirl Tour,PS2,2002,Sports,58.0,7,E
NBA Street: Showdown,PSP,2005,Sports,75.0,8.5,E
pro evolution soccer 2011,Wii,2010,Sports,78.0,5.4,E
Skies of Arcadia Legends,GC,2002,Role-Playing,84.0,9.2,T
Breath of Fire,GBA,2001,Role-Playing,79.0,8.8,E
NCAA Football 2005,GC,2004,Sports,88.0,9,E
Hamtaro: Ham-Ham Games,GBA,2004,Sports,77.0,7.8,E
Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Fighting,61.0,8,T
FaceBreaker K.O. Party,Wii,2008,Fighting,61.0,5.6,T
Dino Stalker,PS2,2002,Shooter,50.0,6.3,M
Mega Man Zero 3,GBA,2004,Platform,77.0,9,E
Super Swing Golf,Wii,2006,Sports,72.0,7.8,E10+
G-Force,PS3,2009,Action,68.0,7.6,E10+
Luminous Arc 2,DS,2008,Role-Playing,73.0,7.7,T
Tony Hawk's Downhill Jam,DS,2006,Sports,76.0,7,E
Age of Empires: The Age of Kings,DS,2006,Strategy,80.0,7.9,E10+
MotoGP 09/10,PS3,2010,Racing,70.0,5.4,E
The Lord of the Rings: The Third Age,GBA,2004,Role-Playing,67.0,8.5,T
Dinosaur King,DS,2007,Strategy,61.0,8,E
The Suffering,XB,2004,Action,77.0,8.8,M
Tetris Worlds,GC,2002,Puzzle,47.0,5.6,E
Viewtiful Joe 2,GC,2004,Action,86.0,8.3,T
Touch the Dead,DS,2007,Shooter,56.0,5.6,M
Nickelodeon Party Blast,XB,2002,Misc,19.0,4.3,E
Jackass the Game,PSP,2007,Action,58.0,7,M
Ragnarok DS,DS,2008,Role-Playing,53.0,5.8,E10+
Shellshock: Nam '67,XB,2004,Shooter,58.0,7,M
Magna Carta: Tears of Blood,PS2,2004,Role-Playing,66.0,7,T
All-Star Baseball 2002,GC,2001,Sports,66.0,5.6,E
Capcom vs. SNK,DC,2000,Fighting,80.0,9,T
Pinball Hall of Fame: The Williams Collection,PS3,2009,Misc,82.0,7.9,E10+
Aliens vs Predator: Requiem,PSP,2007,Action,49.0,5.6,T
From Russia With Love,GC,2005,Action,70.0,8.5,T
Guitar Hero: Smash Hits,PS2,2009,Misc,69.0,8.3,T
NBA Live 09 All-Play,Wii,2008,Sports,51.0,5.9,E
NFL Quarterback Club 2002,PS2,2001,Sports,67.0,7.8,E
NCAA Basketball 09,X360,2008,Sports,70.0,5.6,E
Shin Megami Tensei: Persona,PSP,2009,Role-Playing,78.0,8,T
Growlanser: Heritage of War,PS2,2006,Role-Playing,60.0,7.9,T
Ben 10 Alien Force: Vilgax Attacks,X360,2009,Action,61.0,8.3,E10+
Rugby 2004,PS2,2003,Sports,61.0,6.8,E
NBA 06,PSP,2005,Sports,72.0,5.4,E
KORG DS-10 Synthesizer,DS,2008,Misc,82.0,8.2,E
Naruto: Ninja Council,GBA,2003,Action,60.0,7.1,E10+
Tropico 3,X360,2009,Strategy,75.0,6.6,T
Deadly Creatures,Wii,2009,Action,72.0,8.8,T
NFL 2K3,GC,2002,Sports,92.0,8.3,E
Britney's Dance Beat,GBA,2002,Misc,53.0,7.4,E
Shrek SuperSlam,GC,2005,Action,70.0,7.8,E10+
Full Auto,X360,2006,Shooter,70.0,7.8,T
Herdy Gerdy,PS2,2002,Adventure,69.0,5,E
Afrika,PS3,2008,Adventure,63.0,6.2,E10+
Over G Fighters,X360,2006,Simulation,49.0,6,T
Hot Shots Tennis: Get a Grip,PSP,2010,Sports,80.0,8,E
Star Wars: The Force Unleashed II,DS,2010,Action,43.0,4,T
The Dukes of Hazzard: Return of the General Lee,PS2,2004,Racing,52.0,6.8,E
Crash 'N' Burn,PS2,2004,Racing,63.0,8,T
NBA,PSP,2005,Sports,57.0,6.9,E
Disaster Report,PS2,2002,Action,66.0,8,T
College Hoops 2K7,X360,2006,Sports,82.0,8.2,E
Rampage: Total Destruction,Wii,2006,Action,46.0,5.6,E10+
The Bard's Tale,PS2,2004,Role-Playing,76.0,8.6,T
Robotech: The Macross Saga,GBA,2002,Shooter,61.0,6.5,E
Conflict Zone,PS2,2002,Strategy,47.0,7.4,T
Star Wars: Battlefront,PC,2004,Shooter,72.0,3.5,T
BloodRayne,XB,2002,Shooter,76.0,7.5,M
NHL 2K6,XB,2005,Sports,83.0,7.5,E10+
Hannah Montana: The Movie,X360,2009,Adventure,25.0,3.8,E
Tenchu: Return From Darkness,XB,2004,Action,70.0,7,M
World Poker Tour,PS2,2005,Misc,60.0,8.6,T
Neo Contra,PS2,2004,Shooter,65.0,7.1,M
MVP Baseball,PSP,2005,Sports,67.0,7.7,E
Tony Hawk's American Sk8land,DS,2005,Sports,84.0,8.7,E
Viewtiful Joe 2,PS2,2004,Action,85.0,7.7,T
The BIGS 2,X360,2009,Sports,76.0,6.2,E10+
Quake III: Revolution,PS2,2001,Shooter,84.0,7.2,M
Pac-Man World 3,PS2,2005,Platform,63.0,5.2,E
50 Cent: Blood on the Sand,X360,2009,Shooter,71.0,6.4,M
SBK X: Superbike World Championship,PS3,2010,Racing,73.0,7.5,E10+
Madden NFL 07,DS,2006,Sports,70.0,6.5,E
HBO Boxing,PS,2000,Fighting,26.0,4,E
Bass Pro Shops: The Strike,X360,2009,Sports,63.0,5.8,E
Darkwatch,XB,2005,Shooter,75.0,8.1,M
Maximo vs Army of Zin,PS2,2003,Platform,83.0,7.8,T
Summoner 2,PS2,2002,Role-Playing,76.0,8.3,T
Shadow of Destiny,PS2,2001,Adventure,78.0,8.2,T
Ninja Gaiden: Dragon Sword,DS,2008,Action,83.0,7.8,T
Cabela's Deer Hunt: 2004 Season,XB,2003,Sports,65.0,8.4,T
The Legend of Spyro: The Eternal Night,Wii,2007,Platform,60.0,6.4,E10+
Cursed Mountain,Wii,2009,Adventure,67.0,7.6,M
Age of Empires: Mythologies,DS,2008,Strategy,78.0,6.9,E10+
SBK Superbike World Championship,X360,2008,Racing,63.0,8,E10+
Bionicle,GC,2003,Action,47.0,4.2,E
A Boy and His Blob,Wii,2009,Platform,80.0,8.7,E
Baja: Edge of Control,PS3,2008,Racing,61.0,5,E
G.I. Joe: The Rise of Cobra,PS3,2009,Action,43.0,4.8,T
UFC Undisputed 2010,PSP,2010,Fighting,74.0,7,T
World Series of Poker,PSP,2005,Misc,37.0,6.4,E10+
Rayman Raving Rabbids,X360,2007,Misc,67.0,7.3,E
Deus Ex: The Conspiracy,PS2,2002,Action,81.0,8.9,M
Unreal II: The Awakening,XB,2004,Shooter,64.0,5.3,M
Rumble Racing,PS2,2001,Racing,85.0,8.2,E
Spider-Man: Web of Shadows,PS2,2008,Action,69.0,4.1,E10+
Vampire Rain,X360,2007,Action,38.0,2.9,M
Batman Begins,XB,2005,Action,65.0,7.1,T
JSRF: Jet Set Radio Future,XB,2002,Action,88.0,8.2,T
NHL Hitz 20-02,GC,2001,Sports,79.0,8.7,E
Way of the Samurai 3,X360,2009,Action,55.0,6.8,M
NCAA Football 2003,GC,2002,Sports,91.0,8.1,E
ESPN Winter X Games: Snowboarding 2002,PS2,2000,Sports,64.0,7.9,T
Final Fantasy Fables: Chocobo's Dungeon,Wii,2007,Role-Playing,76.0,8,E10+
Project: Snowblind,PS2,2005,Action,78.0,8.3,T
Prison Break: The Conspiracy,X360,2010,Action,40.0,4.7,T
Mortal Kombat: Special Forces,PS,2000,Fighting,28.0,2.4,M
The Last Airbender,Wii,2010,Action,53.0,6.6,T
NCAA March Madness 07,X360,2007,Sports,67.0,7.1,E
StokEd,X360,2009,Sports,68.0,8.6,T
Evil Dead: Regeneration,PS2,2005,Action,68.0,8.5,M
NHL 2003,XB,2002,Sports,80.0,7.9,E
Tiger Woods PGA Tour,PSP,2005,Sports,78.0,7.4,E
NHL 2K3,PS2,2002,Sports,89.0,7.8,E
Final Fight One,GBA,2001,Fighting,82.0,7.8,E
MLB 10: The Show,PSP,2010,Sports,79.0,6.6,E
Gallop Racer 2003: A New Breed,PS2,2002,Sports,68.0,8.5,E
Blue Dragon Plus,DS,2008,Role-Playing,69.0,6.5,E
BeyBlade VForce: Super Tournament Battle,GC,2002,Action,33.0,7.5,E
Dead to Rights: Retribution,X360,2010,Shooter,61.0,7,M
Dragon Ball Z: Sagas,GC,2005,Fighting,48.0,6.6,T
X2: Wolverine's Revenge,XB,2003,Platform,58.0,6.4,T
Power Rangers: Wild Force,GBA,2002,Action,55.0,6.9,E
Tenchu: Shadow Assassins,Wii,2008,Action,70.0,7.8,M
Beyblade G-Revolution,GBA,2004,Action,40.0,7.8,E
Capcom Fighting Evolution,PS2,2004,Fighting,57.0,4.8,T
Mobile Suit Gundam: Crossfire,PS3,2006,Simulation,33.0,5.1,T
Suikoden Tactics,PS2,2005,Strategy,68.0,8.6,T
NCAA March Madness 06,XB,2005,Sports,76.0,7.2,E
EVE Online,PC,2003,Role-Playing,69.0,7.5,T
Phantasy Star Online,DC,2000,Role-Playing,89.0,9.1,T
Crazy Taxi 3: High Roller,XB,2002,Racing,69.0,8.5,T
Midnight Club 3: DUB Edition Remix,XB,2006,Racing,87.0,5.3,E10+
Thrillville,PSP,2006,Strategy,72.0,2.8,E10+
The King of Fighters Collection: The Orochi Saga,PS2,2006,Fighting,67.0,8.5,T
MLB SlugFest 20-03,XB,2002,Sports,79.0,7.8,E
The Con,PSP,2005,Fighting,63.0,7.3,T
Pitfall: The Lost Expedition,PS2,2004,Platform,70.0,8.9,E
Need for Speed Carbon: Own the City,DS,2006,Racing,70.0,7.5,E
Enchanted Arms,PS3,2007,Role-Playing,64.0,5.9,T
Le Mans 24 Hours,PS2,2001,Racing,75.0,7.6,E
Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,57.0,6.2,E
Harvest Moon: More Friends of Mineral Town,GBA,2003,Simulation,82.0,9.2,E
X2: Wolverine's Revenge,GBA,2003,Platform,72.0,7.2,E
NBA 2K2,XB,2002,Sports,90.0,7.6,E
Dark Messiah of Might and Magic Elements,X360,2008,Role-Playing,52.0,7,M
Planet 51,Wii,2009,Action,53.0,5.8,E
Dead to Rights II,PS2,2005,Shooter,51.0,5.3,M
Kung Fu Rider,PS3,2010,Action,36.0,3.7,E10+
DarkStar One: Broken Alliance,X360,2010,Simulation,63.0,7.2,T
Ty the Tasmanian Tiger 2: Bush Rescue,GC,2004,Platform,70.0,8.6,E
Body and Brain Connection,X360,2010,Misc,57.0,4.8,E
Dragon Ball: Revenge of King Piccolo,Wii,2009,Action,65.0,7.3,E10+
Warriors Orochi,PSP,2008,Action,62.0,6.6,T
MVP Baseball 2003,XB,2003,Sports,82.0,9,E
Monster Jam,X360,2007,Racing,43.0,6.4,E
Infinite Space,DS,2009,Role-Playing,75.0,9,T
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",XB,2005,Action,72.0,6,T
NBA 07,PSP,2006,Sports,68.0,7,E
IHRA Drag Racing 2004,XB,2003,Racing,40.0,7.4,E
Clive Barker's Jericho,PS3,2007,Shooter,60.0,7.1,M
Marvel: Ultimate Alliance 2,DS,2009,Role-Playing,65.0,6.7,E10+
Front Mission Evolved,X360,2010,Shooter,58.0,6.1,T
From Russia With Love,XB,2005,Action,71.0,8.8,T
Apache: Air Assault,PS3,2010,Simulation,66.0,6.1,T
Grandia II,DC,2000,Role-Playing,90.0,8.8,T
Ridge Racer 6,X360,2005,Racing,74.0,7.1,E
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,PS2,2005,Action,53.0,7,E10+
Record of Agarest War,X360,2008,Role-Playing,71.0,7,T
Gladius,PS2,2003,Strategy,78.0,8,T
Dave Mirra Freestyle BMX 2,XB,2001,Sports,76.0,8.2,T
SpongeBob SquarePants: Revenge of the Flying Dutchman,GC,2002,Platform,66.0,8.3,E
Taiko Drum Master,PS2,2004,Misc,77.0,8.1,E
Forgotten Realms: Demon Stone,PS2,2004,Action,71.0,6.8,T
Soldier of Fortune: Payback,X360,2007,Shooter,50.0,5.6,M
Afro Samurai,PS3,2009,Action,65.0,6.1,M
Playboy: The Mansion,PS2,2005,Simulation,59.0,7.5,M
Baja: Edge of Control,X360,2008,Racing,65.0,7.1,E
Tiger Woods PGA Tour 06,PSP,2005,Sports,80.0,7.9,E
Bleach: The 3rd Phantom,DS,2008,Role-Playing,59.0,8,T
MC Groovz Dance Craze,GC,2004,Misc,42.0,6.8,E
The Thing,XB,2002,Adventure,78.0,6.6,M
Untold Legends: Dark Kingdom,PS3,2006,Role-Playing,58.0,7.2,T
Baldur's Gate: Dark Alliance,XB,2002,Role-Playing,83.0,8.3,T
Prince of Persia: Warrior Within,GC,2004,Action,83.0,8.6,M
Warriors Orochi,X360,2007,Action,53.0,7.4,T
Predator: Concrete Jungle,PS2,2005,Action,47.0,8.8,M
X-Men Origins: Wolverine,DS,2009,Action,55.0,8.1,E10+
Big Mutha Truckers 2,PS2,2005,Racing,51.0,2.1,M
Armored Core 4,PS3,2006,Simulation,65.0,6.8,T
Solatorobo: Red the Hunter,DS,2010,Role-Playing,76.0,7.9,E10+
NHL FaceOff 2001,PS2,2001,Sports,57.0,4,E
Mana Khemia 2: Fall of Alchemy,PS2,2008,Role-Playing,70.0,8.2,T
The Great Escape,PS2,2003,Action,57.0,8,T
Big Mutha Truckers,XB,2002,Racing,59.0,4.3,T
The Hobbit,GBA,2003,Platform,67.0,9.2,E
The King of Fighters XI,PS2,2006,Fighting,75.0,8.5,T
Tom Clancy's Splinter Cell: Essentials,PSP,2006,Shooter,58.0,7.5,M
Family Guy,PSP,2006,Action,51.0,6.3,M
Sniper Elite,PS2,2005,Shooter,76.0,8.9,M
Harry Potter and the Goblet of Fire,PSP,2005,Action,70.0,7.4,E10+
Breath of Fire II,GBA,2001,Role-Playing,81.0,8.8,E
Conan,X360,2007,Action,69.0,7.3,M
No More Heroes: Heroes' Paradise,PS3,2010,Action,72.0,7.3,M
Aliens vs Predator,PC,2010,Shooter,68.0,7.4,M
Manhunt,XB,2004,Action,74.0,7.9,M
NCAA Final Four 2003,PS2,2002,Sports,57.0,6,E
Dynasty Warriors: Gundam 2,X360,2008,Action,49.0,7,T
Spectrobes: Origins,Wii,2009,Role-Playing,71.0,8.4,E10+
DanceMasters,X360,2010,Misc,63.0,5.9,E10+
Breath of Fire: Dragon Quarter,PS2,2002,Role-Playing,78.0,6.9,T
Shiren the Wanderer,Wii,2008,Role-Playing,71.0,7.6,T
Spore Hero Arena,DS,2009,Simulation,49.0,2.6,E
Disney's Magical Mirror Starring Mickey Mouse,GC,2002,Adventure,50.0,8.9,E
Enchanted Arms,X360,2006,Role-Playing,69.0,6.9,T
Conflict: Denied Ops,X360,2008,Shooter,52.0,4.9,M
Mace Griffin: Bounty Hunter,PS2,2003,Shooter,62.0,8.3,M
Legacy of Kain: Defiance,XB,2003,Action,74.0,7.9,M
Final Fantasy XI,X360,2006,Role-Playing,66.0,6.5,T
Peter Jackson's King Kong: The Official Game of the Movie,PSP,2005,Action,56.0,6.4,T
Aliens versus Predator: Extinction,PS2,2003,Strategy,66.0,8.4,T
Shrek: Forever After,PS3,2010,Platform,57.0,4.5,E10+
X-Men Origins: Wolverine,PSP,2009,Action,60.0,7.5,T
NHL Hitz Pro,PS2,2003,Sports,79.0,8.9,E
Space Invaders Extreme 2,DS,2009,Shooter,82.0,7.1,E
Supreme Commander 2,PC,2010,Strategy,77.0,6.2,E10+
Quantum Theory,PS3,2010,Shooter,43.0,5.3,M
Dawn of Discovery,Wii,2009,Simulation,81.0,8.5,E10+
Frequency,PS2,2001,Misc,83.0,9,E
2002 FIFA World Cup,XB,2002,Sports,79.0,9,E
Sudeki,XB,2004,Role-Playing,72.0,8.4,M
Majin and the Forsaken Kingdom,X360,2010,Adventure,74.0,8.1,T
Arc Rise Fantasia,Wii,2009,Role-Playing,64.0,7.8,T
Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004,Action,49.0,4.6,T
NBA 2K11,PC,2010,Action,82.0,8.6,E
Naruto: Ninja Destiny,DS,2006,Fighting,61.0,4.4,T
FaceBreaker,X360,2008,Fighting,54.0,6.3,T
Spider-Man: Shattered Dimensions,DS,2010,Action,73.0,7,E10+
Lunar Legend,GBA,2002,Role-Playing,79.0,7.8,E
Conflict: Global Terror,PS2,2005,Shooter,62.0,8.5,M
Dante's Inferno,PSP,2010,Action,70.0,8.1,M
Tomb Raider: Underworld,DS,2008,Action,70.0,8.4,T
Death Jr.,PSP,2005,Platform,61.0,7.3,T
Hulk,GC,2003,Action,71.0,7.4,T
Phantasy Star Universe,PS2,2006,Role-Playing,68.0,8.5,T
Gungrave,PS2,2002,Shooter,65.0,8.6,M
Transworld Surf,PS2,2002,Sports,76.0,8.5,T
Tenchu: Fatal Shadows,PS2,2004,Action,58.0,8,M
50 Cent: Blood on the Sand,PS3,2009,Shooter,72.0,7.2,M
The Legend of Spyro: A New Beginning,GC,2006,Platform,67.0,7.3,E10+
Armored Core: For Answer,PS3,2008,Simulation,62.0,7.6,T
Harry Potter and the Prisoner of Azkaban,XB,2004,Action,67.0,8.8,E
Rise of the Kasai,PS2,2005,Action,68.0,8,M
Risen,X360,2009,Role-Playing,60.0,6.4,M
Nostalgia,DS,2008,Role-Playing,72.0,7.6,E10+
Dynasty Warriors Gundam,X360,2007,Action,55.0,6.8,T
Chibi-Robo! Park Patrol,DS,2007,Adventure,78.0,7.5,E
One Piece: Unlimited Adventure,Wii,2007,Adventure,67.0,8.5,T
Shaun White Skateboarding,PS3,2010,Sports,61.0,6.5,T
Conflict: Denied Ops,PS3,2008,Shooter,51.0,3.1,M
Ice Age: Dawn of the Dinosaurs,PS3,2009,Action,67.0,7.3,E10+
Robin Hood: Defender of the Crown,PS2,2003,Strategy,59.0,5.6,T
R-Type Final,PS2,2003,Shooter,79.0,9.1,E
Bolt,PS3,2008,Adventure,59.0,6.8,E10+
Sega GT 2002,XB,2002,Racing,82.0,8.2,E
Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,2005,Action,68.0,8.1,E10+
Samurai Warriors 2: Empires,PS2,2006,Action,55.0,7.3,T
Blood Omen 2,XB,2002,Action,76.0,9,M
Major League Baseball 2K10,PS3,2010,Sports,74.0,5.3,E
Harry Potter: Quidditch World Cup,XB,2003,Sports,69.0,7.5,E
La Pucelle: Tactics,PS2,2002,Role-Playing,79.0,8.5,T
Arcania: Gothic 4,PC,2010,Role-Playing,63.0,4.4,T
NBA Ballers: Chosen One,X360,2008,Sports,55.0,4.2,E
Tiger Woods PGA Tour 07,XB,2006,Sports,81.0,6.8,E
Disney's Meet the Robinsons,Wii,2007,Action,62.0,6.3,E10+
SBK X: Superbike World Championship,X360,2010,Racing,74.0,8.3,E10+
EverQuest Online Adventures: Frontiers,PS2,2003,Role-Playing,77.0,8.5,T
Phantasy Star Online Ver. 2,DC,2001,Role-Playing,80.0,8.9,T
Fight Club,PS2,2004,Fighting,36.0,4.4,M
Samurai Warriors: State of War,PSP,2005,Action,64.0,6.4,T
