Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
MotorStorm,PS3,2006,Racing,84.0,7.4,T
World Soccer Winning Eleven 8 International,PS2,2004,Sports,91.0,9.1,E
Sports Champions,PS3,2010,Sports,76.0,7.9,E10+
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,59.0,4,E
Big Brain Academy: Wii Degree,Wii,2007,Misc,68.0,6.9,E
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,77.0,7.5,E10+
The Sims: Unleashed,PC,2002,Simulation,79.0,8,T
Harry Potter and the Sorcerer's Stone,PS,2001,Action,64.0,7.5,E
Super Paper Mario,Wii,2007,Platform,85.0,7.9,E
Spyro: Year of the Dragon,PS,2000,Platform,91.0,8.8,E
FIFA Soccer 2005,PS2,2004,Sports,81.0,7.6,E
Tony Hawk's Pro Skater 4,PS2,2002,Sports,94.0,8.5,T
MySims,DS,2007,Simulation,67.0,7.3,E
Midnight Club 3: DUB Edition,PSP,2005,Racing,74.0,8.4,E10+
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,82.0,7.9,M
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,90.0,8.7,E
Pro Evolution Soccer 2008,PS2,2007,Sports,82.0,7.9,E
Resident Evil 4,PS2,2005,Action,96.0,8.9,M
Guitar Hero: World Tour,Wii,2008,Misc,86.0,7.6,T
FIFA Soccer 10,PS3,2009,Sports,91.0,7.6,E
Star Wars: Battlefront,PS2,2004,Shooter,82.0,8.7,T
The Simpsons: Road Rage,PS2,2001,Racing,64.0,7.7,T
Luigi's Mansion,GC,2001,Action,78.0,8.5,E
Star Wars: Battlefront II,PS2,2005,Shooter,84.0,9,T
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,70.0,8,E
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,78.0,7.8,M
The Getaway,PS2,2002,Action,72.0,6.8,M
James Bond 007: Agent Under Fire,PS2,2001,Shooter,72.0,7.9,T
FIFA Soccer 11,X360,2010,Sports,88.0,7.5,E
Left 4 Dead,X360,2008,Shooter,89.0,7.9,M
Resident Evil 5,X360,2009,Action,83.0,7.5,M
Assassin's Creed: Brotherhood,X360,2010,Action,89.0,8.3,M
Batman: Arkham Asylum,X360,2009,Action,92.0,8.7,T
Battlefield: Bad Company 2,X360,2010,Shooter,88.0,8.6,M
Guitar Hero: On Tour,DS,2008,Misc,71.0,8.8,E10+
Clubhouse Games,DS,2006,Misc,83.0,8.4,E
Borderlands,X360,2009,Shooter,84.0,8.2,M
Tekken 4,PS2,2002,Fighting,79.0,8.3,T
Grand Theft Auto 2,PS,1998,Action,70.0,8,T
Spider-Man 2,PS2,2004,Action,80.0,8.9,T
FIFA Soccer 2003,PS2,2002,Sports,88.0,6.7,E
Crash Bash,PS,2000,Misc,68.0,8.2,E
LEGO Batman: The Videogame,X360,2008,Action,76.0,7.9,E10+
James Bond 007: Nightfire,PS2,2002,Shooter,77.0,8.5,T
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,60.0,7.2,T
The Legend of Zelda: Spirit Tracks,DS,2009,Action,87.0,7.8,E10+
Max Payne,PS2,2001,Shooter,80.0,8.5,M
The Lord of the Rings: The Return of the King,PS2,2003,Action,85.0,8.7,T
True Crime: Streets of LA,PS2,2003,Action,77.0,8,M
Professor Layton and the Unwound Future,DS,2008,Puzzle,86.0,9.2,E10+
Wii Music,Wii,2008,Misc,63.0,4.6,E
God of War: Chains of Olympus,PSP,2008,Action,91.0,8.6,M
Enter the Matrix,PS2,2003,Action,62.0,8.1,T
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,83.0,8,T
Dance Central,X360,2010,Misc,82.0,7.6,T
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,89.0,9.1,E
Animal Crossing,GC,2001,Simulation,87.0,8.9,E
FIFA Soccer 08,PS2,2007,Sports,83.0,6.5,E
Spider-Man,PS,2000,Action,87.0,9,E
Sonic Rush,DS,2005,Platform,82.0,8.5,E
Rhythm Heaven,DS,2008,Misc,83.0,9,E
Fallout: New Vegas,PS3,2010,Role-Playing,82.0,7.8,M
Personal Trainer: Cooking,DS,2006,Misc,81.0,7.8,E
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,93.0,8,M
Mass Effect 2,X360,2010,Role-Playing,96.0,8.9,M
Dragon Ball Z: Budokai,PS2,2002,Fighting,67.0,7.9,T
